model,seed,branch,step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
raw_minilm,44,classification,0,0.0,10000.0,384.0,0.0244144238531589,0.1303088366985321,-3.757115364074707,100.60334777832033,57.49640370077511,0.0526368208229541,0.3192436695098877,0.9562396385883974,1.0
raw_minilm,44,classification,68,0.25,10000.0,384.0,0.8596048951148987,0.074811078608036,-0.5211640000343323,22.496551513671875,6.750955138617469,0.3404234647750854,0.7117353081703186,1.918841476337682,0.14171
raw_minilm,44,classification,135,0.5,10000.0,384.0,0.8665986061096191,0.0749300718307495,-0.4930125176906585,16.932544708251953,5.335107705354846,0.3873317837715149,0.7611422538757324,1.847185219582195,0.1209599999999999
raw_minilm,44,classification,270,1.0,10000.0,384.0,0.8564971089363098,0.0854007303714752,-0.521676778793335,13.467768669128418,4.620103837103571,0.4133892655372619,0.8013904094696045,1.705969079077129,0.10394
raw_minilm,44,control,0,0.0,10000.0,384.0,0.0244144238531589,0.1303088366985321,-3.757115364074707,100.60334777832033,57.49640370077511,0.0526368208229541,0.3192436695098877,0.9562396385883974,1.0
raw_minilm,44,control,68,0.25,10000.0,384.0,0.024442920461297,0.1261361539363861,-3.766548156738281,107.12173461914062,61.92549948208412,0.0498895049095153,0.3033082783222198,1.0578217928913134,0.74255
raw_minilm,44,control,135,0.5,10000.0,384.0,0.0211637057363986,0.121742770075798,-3.789684772491455,112.49739074707033,66.10517067764701,0.0448685809969902,0.2891121208667755,1.046632417954548,0.6541899999999999
raw_minilm,44,control,270,1.0,10000.0,384.0,0.0122890165075659,0.1189185380935669,-3.830998182296753,116.36618041992188,69.662969950506,0.0419776476919651,0.2767705619335174,1.0719604786019867,0.6086699999999999
raw_minilm,44,retrieval,0,0.0,10000.0,384.0,0.0244144238531589,0.1303088366985321,-3.757115364074707,100.60334777832033,57.49640370077511,0.0526368208229541,0.3192436695098877,0.9562396385883974,1.0
raw_minilm,44,retrieval,68,0.25,10000.0,384.0,0.1144549697637558,0.1264654397964477,-3.406788825988769,95.81771087646484,55.77125041379995,0.0489609390497207,0.3297311961650848,1.4773293392357711,0.26073
raw_minilm,44,retrieval,135,0.5,10000.0,384.0,0.0961171463131904,0.1309838891029358,-3.470910787582397,96.69123077392578,56.55912519416398,0.0478954352438449,0.3266453146934509,1.43510112267222,0.2427
raw_minilm,44,retrieval,270,1.0,10000.0,384.0,0.0844378843903541,0.1290499567985534,-3.521446466445923,98.583251953125,58.252071752492895,0.045276965945959,0.318783164024353,1.4657373777860083,0.24485
raw_minilm,44,sts,0,0.0,10000.0,384.0,0.0244144238531589,0.1303088366985321,-3.757115364074707,100.60334777832033,57.49640370077511,0.0526368208229541,0.3192436695098877,0.9562396385883974,1.0
raw_minilm,44,sts,68,0.25,10000.0,384.0,0.7730966210365295,0.0525627583265304,-0.8861844539642334,89.77052307128906,50.60972990107033,0.0529007650911808,0.3572354912757873,2.480690974672552,0.30837
raw_minilm,44,sts,135,0.5,10000.0,384.0,0.7018022537231445,0.0632223337888717,-1.1619242429733276,99.07561492919922,56.6217163291656,0.0491838492453098,0.3320630192756653,2.4609691930685966,0.3180699999999999
raw_minilm,44,sts,270,1.0,10000.0,384.0,0.6936448216438293,0.0643580332398414,-1.1933887004852295,98.0692367553711,56.42859998262459,0.0478627383708953,0.3344520330429077,2.5032000674573616,0.3085
